"","Group.1","Total.Geographical.Area..in.Hectares.","Total.Households","Total.Population.of.Village","Total.Male.Population.of.Village","Total.Female.Population.of.Village","Total.Pre...Primary.School","Distance","Total.Middle.Schools","Distance.1","Total.Secondary.Schools","Distance.2","Total.Senior.Secondary.Schools","Distance.3","Total.Arts.and.Science.Degree.College","Distance.4","Total.Engineering.College","Distance.5","Total.Medicine.College","Distance.6","Total.Management.Institute","Distance.7","Total.Vocational.Training.School.ITI","Distance.8","Total.Non.Formal.Training.Centre..Status.A.1..NA.2..","Distance.9","Distance10","Clusters"
"1",1,1210.53488372093,1104.58139534884,6089.41860465116,3209.11627906977,2880.3023255814,1.32558139534884,10.3488372093023,2.53488372093023,12.5,2.18604651162791,12.093023255814,1.2093023255814,10.6976744186047,0.162790697674419,4.41860465116279,1.02325581395349,11.3953488372093,0.13953488372093,2.61627906976744,1.2093023255814,12.4418604651163,0.0930232558139535,3.13953488372093,0,1.74418604651163,1.97674418604651,1
"2",2,986.091672498251,713.65500349895,3893.59412176347,2067.79216235129,1825.80195941218,0.734779566130161,9.15675297410777,1.68579426172148,12.3390482855143,1.26592022393282,11.2928621413576,0.617914625612316,8.53568929321204,0.00209937018894332,1.62176347095871,0.00279916025192442,0.836249125262421,0,0.216934919524143,0.00139958012596221,0.342897130860742,0.00909727081875437,1.2036389083275,0,0.150454863540938,0.153953813855843,2
"3",3,2222.9620596206,1714.33875338753,9257.07046070461,4946.34959349593,4310.72086720867,2.12466124661247,11.7750677506775,3.46070460704607,12.5,2.90514905149051,12.4593495934959,2.09756097560976,12.0121951219512,0.0542005420054201,2.54065040650406,0.013550135501355,1.53794037940379,0.002710027100271,0.386178861788618,0.016260162601626,1.12466124661247,0.0731707317073171,2.32384823848238,0.013550135501355,0.596205962059621,0.860433604336043,3
"4",4,760.802575107296,775.624463519313,4119.24463519313,2203.60729613734,1915.63733905579,0.901287553648069,10.5418454935622,1.75107296137339,12.3390557939914,1.3755364806867,11.8240343347639,0.6931330472103,10.0107296137339,0.00429184549356223,5.9549356223176,0.0278969957081545,5.71351931330472,0.00214592274678112,1.92596566523605,0.0128755364806867,5.12875536480687,0.0429184549356223,6.11587982832618,0.036480686695279,4.12017167381974,5.42381974248927,4
