feature,importance
health_family_welfare_centre_doctors_total_strength_numbers,0.0
health_hospiltal_alternative_medicine_doctors_total_strength_numbers,0.0
edu_total_school_for_disabled,0.0
health_tb_clinic_doctors_in_position_numbers,0.0
health_tb_clinic_numbers,0.0
health_tb_clinic_doctors_total_strength_numbers,0.0
health_hospital_allopathic_doctors_in_position_numbers,0.0
health_hospital_allopathic_doctors_total_strength_numbers,0.0
irrig_waterfall_area_in_hectares,0.0
infra_kuchha_roads,0.0
