"","Group.1","Total.Geographical.Area.(in.Hectares)","Total.Households","Total.Population.of.Village","Total.Male.Population.of.Village","Total.Female.Population.of.Village","Total.Pre.-.Primary.School","Distance","Total.Middle.Schools","Distance.1","Total.Secondary.Schools","Distance.2","Total.Senior.Secondary.Schools","Distance.3","Total.Arts.and.Science.Degree.College","Distance.4","Total.Engineering.College","Distance.5","Distance.6","Total.Management.Institute","Distance.7","Total.Vocational.Training.School/ITI","Distance.8","Total.Non.Formal.Training.Centre.(Status.A(1)/NA(2))","Distance.9","Distance10","Clusters"
"1",1,563.747323340471,383.836188436831,2075.24518201285,1097.82226980728,977.422912205567,0.525695931477516,8.97483940042827,1.4271948608137,12.2537473233405,0.846895074946467,10.524625267666,0.330835117773019,8.04336188436831,0.00107066381156317,1.98340471092077,0,1.3865096359743,0.310492505353319,0,0.744111349036403,0.0107066381156317,1.64346895074946,0,0.315845824411135,0.674518201284797,1
"2",2,361.586666666667,245.223111111111,1363.6,719.917333333333,643.682666666667,0.205333333333333,7.06444444444444,0.761777777777778,10.7333333333333,0.182222222222222,8.05111111111111,0.0542222222222222,6.56444444444444,0,1.77777777777778,0,0.982222222222222,0.377777777777778,0,0.555555555555556,0.00266666666666667,1.05555555555556,0,0.102222222222222,0.422222222222222,2
"3",3,339.151119402985,297.147388059701,1586.25932835821,843.02052238806,743.238805970149,0.369402985074627,9.07182835820896,0.938432835820896,11.571828358209,0.348880597014925,9.5615671641791,0.19589552238806,8.68936567164179,0,6.15671641791045,0,5.41977611940298,2.29477611940298,0,5.19589552238806,0.0130597014925373,5.89085820895522,0.00373134328358209,3.44216417910448,5.51305970149254,3
"4",4,413.147058823529,323.235294117647,1818.47058823529,967.970588235294,850.5,0.411764705882353,9.26470588235294,1.11764705882353,11.9117647058824,0.411764705882353,9.55882352941176,0.205882352941176,8.30882352941176,0,3.38235294117647,0.941176470588235,11.3970588235294,1.32352941176471,0.617647058823529,8.23529411764706,0,3.08823529411765,0,1.61764705882353,2.35294117647059,4
