"","Group.1","Total.Geographical.Area..in.Hectares.","Total.Households","Total.Population.of.Village","Total.Male.Population.of.Village","Total.Female.Population.of.Village","Total.Pre...Primary.School","Distance","Total.Middle.Schools","Distance.1","Total.Secondary.Schools","Distance.2","Total.Senior.Secondary.Schools","Distance.3","Total.Arts.and.Science.Degree.College","Distance.4","Distance.5","Total.Medicine.College","Distance.6","Total.Management.Institute","Distance.7","Total.Vocational.Training.School.ITI","Distance.8","Total.Non.Formal.Training.Centre..Status.A.1..NA.2..","Distance.9","Distance10","Clusters"
"1",1,509.143312101911,360.277070063694,1912.64331210191,1012.67197452229,899.971337579618,0.952229299363057,10.9156050955414,1.94585987261146,12.5,1.69745222929936,12.468152866242,1.1687898089172,11.8312101910828,0,3.08917197452229,1.86305732484076,0,0.414012738853503,0,1.48089171974522,0.0222929936305732,2.7468152866242,0,0.828025477707006,1.56050955414013,1
"2",2,566.53798256538,379.652552926526,2072.71731008717,1096.11207970112,976.605230386052,0.332503113325031,7.92341220423412,1.17559153175592,12.0236612702366,0.457036114570361,9.44894146948941,0.0398505603985056,6.61892901618929,0.0012453300124533,1.84620174346202,1.3760896637609,0,0.354919053549191,0.0012453300124533,0.694271481942715,0.0062266500622665,1.47260273972603,0,0.305105853051059,0.653798256537983,2
"3",3,347.460333006856,238.380999020568,1326.20372184133,699.86777668952,626.335945151812,0.210577864838394,7.19882468168462,0.736532810969638,10.70763956905,0.172380019588639,8.08521057786484,0.0342801175318315,6.54750244857982,0,1.79236043095005,1.03085210577865,0,0.396669931439765,0,0.572967678746327,0.0039177277179236,1.0822722820764,0,0.117531831537708,0.426052889324192,3
"4",4,325.048879837067,291.782077393075,1558.81059063136,829.57433808554,729.236252545825,0.311608961303462,8.89511201629328,0.863543788187373,11.4358452138493,0.246435845213849,9.32790224032587,0.0977596741344195,8.39613034623218,0,6.07942973523422,6.0081466395112,0,2.38289205702648,0.0407331975560081,5.65682281059063,0.00814663951120163,5.77393075356416,0.00407331975560081,3.43177189409369,5.4786150712831,4
