"","Group.1","Total.Geographical.Area.(in.Hectares)","Total.Households","Total.Population.of.Village","Total.Male.Population.of.Village","Total.Female.Population.of.Village","Agricultural.Credit.Societies","Distance.1","Mandis/Regular.Market","Distance.2","Weekly.Haat","Distance.3","Agricultural.Marketing.Society","Distance.4","ASHA","Distance.5","Community.Centre.with/without.TV","Distance.6","Sports.Field","Distance.7","Sports.Club/Recreation.Centre","Distance.8","Public.Library","Distance.9","Assembly.Polling.Station","Distance.10","Clusters"
"1",1,820.453618756371,736.349643221203,4003.72986748216,2133.4627930683,1870.26707441386,0.378185524974516,9.26350662589195,0.0397553516819572,6.42966360856269,0.017329255861366,5.71100917431193,0.0397553516819572,6.31753312945973,0.986748216106014,12.4159021406728,0.112130479102956,6.45769622833843,0.390417940876656,8.64678899082569,0.0458715596330275,5.47145769622834,0.0285423037716616,4.74006116207951,0.966360856269113,12.2986748216106,1
"2",2,1025.35017221584,750.283582089552,4050.56486796785,2153.73593570609,1896.82893226177,0.469575200918484,8.6768082663605,0.0218140068886338,1.4150401836969,0.00229621125143513,0.694603903559127,0.0137772675086108,1.07347876004592,0.998851894374282,12.4913892078071,0.0470723306544202,1.28874856486797,0.326061997703789,4.93111366245695,0.00803673938002296,0.433409873708381,0.00459242250287026,0.235361653272101,0.988518943742824,12.3737083811711,2
"3",3,2427.56794425087,1860.63066202091,10112.7142857143,5399.78048780488,4712.93379790941,0.867595818815331,11.7334494773519,0.191637630662021,5.0609756097561,0.0278745644599303,2.94425087108014,0.139372822299652,4.45993031358885,1,12.5,0.18815331010453,4.51219512195122,0.51219512195122,8.10975609756098,0.0627177700348432,3.1184668989547,0.0801393728222996,3.07491289198606,0.986062717770035,12.3606271777003,3
"4",4,1436.47619047619,901.696428571429,4780.7619047619,2537.99404761905,2242.76785714286,0.535714285714286,9.40476190476191,1,12.5,0.964285714285714,12.172619047619,0.988095238095238,12.3809523809524,1,12.5,0.988095238095238,12.3809523809524,0.988095238095238,12.3809523809524,0.970238095238095,12.1875,0.976190476190476,12.2619047619048,0.994047619047619,12.4553571428571,4
