"","Group.1","Total.Geographical.Area.(in.Hectares)","Total.Households","Total.Population.of.Village","Total.Male.Population.of.Village","Total.Female.Population.of.Village","Banks.on.any.Kind","Distance","Agricultural.Credit.Societies","Distance.1","Mandis/Regular.Market","Distance.2","Weekly.Haat","Distance.3","Agricultural.Marketing.Society","Distance.4","ASHA","Distance.5","Community.Centre.with/without.TV","Distance.6","Sports.Field","Distance.7","Distance.8","Public.Library","Distance.9","Assembly.Polling.Station","Distance.10","Clusters"
"1",1,573,115.072463768116,609.739130434783,321.260869565217,288.478260869565,1,12.5,0.144927536231884,7.2463768115942,1,12.5,0.971014492753623,12.1376811594203,1,12.5,1,12.5,0.956521739130435,11.9565217391304,0.956521739130435,11.9565217391304,2.10144927536232,0.956521739130435,11.9565217391304,1,12.5,1
"2",2,187.814332247557,49.1938110749186,272.908794788274,144.501628664495,128.407166123778,0.820846905537459,12.5501628664495,0.0358306188925081,6.49022801302932,0.0211726384364821,4.49104234527687,0.00977198697068404,3.63192182410423,0.00814332247557003,4.12459283387622,0.723127035830619,11.2296416938111,0.0228013029315961,4.19381107491857,0.0423452768729642,5.26058631921824,2.61400651465798,0.00162866449511401,2.2271986970684,0.527687296416938,10.5618892508143,2
"3",3,223.705190989226,136.400587659158,736.64152791381,388.911851126347,347.729676787463,0.999020568070519,12.5002742409403,0.0842311459353575,7.36043095004897,0.0137120470127326,4.37806072477963,0.0019588638589618,3.71694417238002,0.00783545543584721,4.17238001958864,0.984329089128306,12.4314397649363,0.0284035259549461,4.08178256611165,0.197845249755142,6.20470127326151,2.65915768854065,0.0137120470127326,2.44368266405485,0.942213516160627,12.2624877571009,3
"4",4,235.065326633166,0,0,0,0,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,15,0,15,0,15,4
