"","Group.1","Total.Geographical.Area..in.Hectares.","Total.Households","Total.Population.of.Village","Total.Male.Population.of.Village","Total.Female.Population.of.Village","Distance","Primary.Health.Centre..Numbers.","Primary.Health.Centre.Doctors.Total.Strength..Numbers.","Primary.Health.Centre.Doctors.In.Position..Numbers.","Distance.1","Primary.Heallth.Sub.Centre..Numbers.","Primary.Heallth.Sub.Centre.Doctors.Total.Strength..Numbers.","Primary.Heallth.Sub.Centre.Doctors.In.Position..Numbers.","Distance.2","Maternity.And.Child.Welfare.Centre..Numbers.","Maternity.And.Child.Welfare.Centre.Doctors.Total.Strength..Numbers.","Maternity.And.Child.Welfare.Centre.Doctors.In.Position..Numbers.","Distance.3","TB.Clinic..Numbers.","TB.Clinic.Doctors.Total.Strength..Numbers.","TB.Clinic.Doctors.In.Position..Numbers.","Distance.4","Distance.5","Hospiltal.Alternative.Medicine..Numbers.","Hospiltal.Alternative.Medicine.Doctors.Total.Strength..Numbers.","Hospiltal.Alternative.Medicine.Doctors.In.Position..Numbers.","Distance.6","Dispensary..Numbers.","Dispensary.Doctors.Total.Strength..Numbers.","Dispensary.Doctors.In.Position..Numbers.","Distance.7","Veterinary.Hospital..Numbers.","Veterinary.Hospital.Doctors.Total.Strength..Numbers.","Veterinary.Hospital.Doctors.In.Position..Numbers.","Distance.8","Distance.9","Family.Welfare.Centre..Numbers.","Family.Welfare.Centre.Doctors.Total.Strength..Numbers.","Family.Welfare.Centre.Doctors.In.Position..Numbers.","Distance.10","Clusters"
"1",1,385.151515151515,128.230303030303,688.490909090909,364.169696969697,324.321212121212,3.90909090909091,0.0303030303030303,0.357575757575758,0.206060606060606,5.56060606060606,0.218181818181818,0.36969696969697,0.327272727272727,7.1969696969697,0.133333333333333,0.339393939393939,0.315151515151515,5.81818181818182,0.00606060606060606,0.00606060606060606,0.00606060606060606,2.5,1.87878787878788,0.0242424242424242,0.0727272727272727,0.0545454545454545,2.45454545454545,0.121212121212121,0.296969696969697,0.278787878787879,6.06060606060606,0.775757575757576,1.83030303030303,1.77575757575758,11.0909090909091,2.63636363636364,0,0,0,3.72727272727273,1
"2",2,236.442002442002,141.273504273504,763.385836385836,402.912087912088,360.473748473748,4.52380952380952,0.00122100122100122,0.00366300366300366,0.00366300366300366,6.13858363858364,0.0537240537240537,0.0781440781440781,0.0695970695970696,7.26190476190476,0,0,0,5.63492063492064,0,0,0,2.997557997558,2.68620268620269,0,0,0,3.21123321123321,0,0,0,6.23321123321123,0,0,0,7.68620268620269,3.75457875457875,0,0,0,4.81074481074481,2
"3",3,228,7.24066390041494,40.0580912863071,21.4439834024896,18.6141078838174,14.1078838174274,0,0,0,14.1078838174274,0.004149377593361,0.00829875518672199,0.00829875518672199,14.1390041493776,0,0,0,14.1078838174274,0,0,0,14.0041493775934,14.1078838174274,0,0,0,14.1286307053942,0,0,0,14.1286307053942,0,0,0,14.1286307053942,14.0663900414938,0,0,0,14.1286307053942,3
"4",4,173.882005899705,57.2330383480826,314.573746312684,166.266961651917,148.306784660767,3.14896755162242,0,0,0,4.54277286135693,0.0103244837758112,0.0162241887905605,0.0117994100294985,5.68952802359882,0,0,0,4.14454277286136,0,0,0,1.57817109144543,1.44542772861357,0,0,0,1.99115044247788,0,0,0,5.23598820058997,0,0,0,6.58554572271386,2.38200589970501,0.00147492625368732,0.00442477876106195,0.00442477876106195,3.34439528023599,4
