"","Group.1","Total.Geographical.Area.(in.Hectares)","Total.Households","Total.Population.of.Village","Total.Male.Population.of.Village","Total.Female.Population.of.Village","Tap.Water-Treated","Closed.Drainage","Open.Drainage","Water.Treatment.-.Sewar.Plants","Total.Sanitation.Campaign.(TSC)","Community.Toilet.Complex","Community.Toilet.Complex.(excluding.Bath).for.General.Public","Community.waste.disposal.system.after.house.to.house.collection","Community.Bio-gas.or.recycle.of.waste.for.production.use","No.System.(Garbage.on.road/street)","Post.Office.or.Sub.Post.Office","Distance","Telephone","Distance.1","PCO","Distance.2","Internet.Cafes./.Common.Service.Centre.(CSC)","Distance.3","Private.Courier.Facility","Distance.4","Public.Bus.Service","Distance.5","Private.Bus.Service.(Status.A(1)/NA(2))","Distance.6","Railway.Station","Distance.7","Other.Transport.-.Auto,.Van.Rickshaw.etc.","Distance.8","Highways","Distance.9","Other.Pucca.Roads","Distance.10","Kuchha.Roads","Clusters"
"1",1,934.418975650714,750.539882451721,4050.92191435768,2156.95633921075,1893.96557514694,1,0.036943744752309,0.976490344248531,0.0772460117548279,0.964735516372796,0.0319059613769941,0.0503778337531486,0.0277078085642317,0.0109151973131822,0.787573467674223,0.677581863979849,10.4177162048699,0.985726280436608,12.4517212426532,0.800167926112511,10.9970612930311,0.0495382031905961,4.25902602854744,0.0243492863140218,4.09529806884971,1,12.5,0.761544920235097,10.715785054576,0.0445004198152813,3.76364399664148,1,12.5,1.03022670025189,12.4244332493703,0.995801847187238,12.472712006717,1,1
"2",2,948.455259026688,718.836734693878,3970.95133437991,2112.02197802198,1858.92935635793,1,0.0345368916797488,0.962323390894819,0.0690737833594976,0.98116169544741,0.0235478806907378,0.0423861852433281,0.0313971742543171,0.010989010989011,0.733124018838305,0.624803767660911,9.65463108320251,0.869701726844584,11.4128728414443,0.67817896389325,10.0078492935636,0.0282574568288854,3.5243328100471,0.0313971742543171,3.38304552590267,1,12.5,0.602825745682888,9.52119309262166,0.0172684458398744,2.87676609105181,1,12.5,1.93563579277865,2.55494505494505,0.989010989010989,12.4175824175824,1,2
"3",3,927.309523809524,804.72619047619,4246.19047619048,2280.4880952381,1965.70238095238,1,0.0238095238095238,0.94047619047619,0.119047619047619,0.988095238095238,0.0476190476190476,0.0833333333333333,0.0476190476190476,0.0357142857142857,0.880952380952381,0.55952380952381,9.01785714285714,0.976190476190476,12.3214285714286,0.726190476190476,10.5059523809524,0.119047619047619,4.76190476190476,0.0357142857142857,3.60119047619048,0,4.52380952380952,0.964285714285714,12.2916666666667,0.0714285714285714,4.64285714285714,1,12.5,1.45238095238095,8.21428571428571,0.976190476190476,12.3809523809524,1,3
"4",4,2129.19493670886,1625.19746835443,8735.1746835443,4655.9417721519,4079.23291139241,1,0.0860759493670886,0.959493670886076,0.0810126582278481,0.972151898734177,0.0860759493670886,0.156962025316456,0.0810126582278481,0.0582278481012658,0.708860759493671,0.941772151898734,12.1518987341772,0.992405063291139,12.4303797468354,0.964556962025316,12.1582278481013,0.410126582278481,7.22784810126582,0.207594936708861,5.32911392405063,1,12.5,0.926582278481013,12,0.113924050632911,4.19620253164557,1,12.5,1.09873417721519,11.6582278481013,0.99746835443038,12.493670886076,1,4
