"","Group.1","Total.Geographical.Area.(in.Hectares)","Total.Households","Total.Population.of.Village","Total.Male.Population.of.Village","Total.Female.Population.of.Village","Tap.Water-Treated","Closed.Drainage","Open.Drainage","Water.Treatment.-.Sewar.Plants","Total.Sanitation.Campaign.(TSC)","Community.Toilet.Complex","Community.Toilet.Complex.(excluding.Bath).for.General.Public","Community.waste.disposal.system.after.house.to.house.collection","Community.Bio-gas.or.recycle.of.waste.for.production.use","No.System.(Garbage.on.road/street)","Post.Office.or.Sub.Post.Office","Distance","Telephone","Distance.1","PCO","Distance.2","Internet.Cafes./.Common.Service.Centre.(CSC)","Distance.3","Private.Courier.Facility","Distance.4","Public.Bus.Service","Distance.5","Private.Bus.Service.(Status.A(1)/NA(2))","Distance.6","Railway.Station","Distance.7","Other.Transport.-.Auto,.Van.Rickshaw.etc.","Distance.8","Highways","Distance.9","Other.Pucca.Roads","Distance.10","Kuchha.Roads","Clusters"
"1",1,235.065326633166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,1
"2",2,234.882445141066,115.941222570533,626.496865203762,331.005485893417,295.491379310345,1,0.0626959247648903,0.955329153605016,0.133228840125392,0.945924764890282,0.0407523510971787,0.0423197492163009,0.0642633228840125,0.0289968652037618,0.699059561128527,0.0893416927899686,6.5948275862069,0.96551724137931,12.3981191222571,0.547805642633229,10.182210031348,0.0454545454545455,4.80799373040752,0.0344827586206897,4.55721003134796,0.999216300940439,12.4980407523511,0.598746081504702,10.2115987460815,0.00862068965517241,2.77233542319749,1.00626959247649,12.4843260188088,1.53683385579937,7.30211598746082,0.996081504702194,12.4862852664577,1,2
"3",3,198.539215686275,57.2254901960784,320.558823529412,168.859477124183,151.699346405229,1,0.00980392156862745,0.92483660130719,0.254901960784314,0.915032679738562,0.00980392156862745,0.00980392156862745,0.0163398692810458,0.0065359477124183,0.715686274509804,0.0490196078431373,5.62908496732026,0.202614379084967,7.12418300653595,0.127450980392157,6.98529411764706,0.00326797385620915,3.73366013071895,0.0130718954248366,3.80718954248366,0.957516339869281,12.3447712418301,0.477124183006536,9.50980392156863,0,2.17320261437908,1.45098039215686,9.29738562091503,1.72549019607843,5.13071895424837,0.947712418300654,12.2058823529412,1,3
"4",4,186.844262295082,98.016393442623,526.622950819672,278.16393442623,248.459016393443,1,0.0655737704918033,0.983606557377049,0.0655737704918033,0.975409836065574,0.040983606557377,0.0245901639344262,0.19672131147541,0.0327868852459016,0.647540983606557,0.0819672131147541,6.4344262295082,0.901639344262295,11.9672131147541,0.39344262295082,9.05737704918033,0.0573770491803279,4.32377049180328,0.0163934426229508,3.9344262295082,0,6.18852459016393,0.795081967213115,11.2090163934426,0.00819672131147541,2.88934426229508,1.07377049180328,11.9877049180328,1.5327868852459,7.23360655737705,0.991803278688525,12.4795081967213,1,4
