District.Name,Village.Name,Total.Population.of.Village,Total.Households,population_stratum,agriculture_index,education_index,health_index,infrastructure_index,irrigation_index,social_index,composite_index_equal,composite_index_sdg,composite_index_expert,composite_index_shap,composite_index_lasso,composite_index_ensemble
Panchkula,Maranwala (95),3964,757,high,46.28142854621092,46.446900736887734,50.77796823895653,41.31904761904762,23.068702290076338,39.0,41.14900790519652,42.48424897541691,40.86568508380178,43.4104358945124,41.130732935429634,41.80802215887145
Panchkula,Karanpur (88),2988,543,high,49.26085708595461,31.975942782834856,58.32023091776018,46.404761904761905,19.285024154589372,24.499999999999996,38.29113614098348,40.667842757802894,39.12735944321007,42.10294709188915,38.27486297569208,39.69282968191553
Panchkula,Paploha (139),2670,530,high,43.35010423762049,22.406371911573473,5.150628521889901,42.00476190476191,8.272727272727273,24.9,24.347432308095506,22.30307052505362,25.41633586468437,18.35710813650433,24.34893652637374,22.954576672142316
Panchkula,Surajpur (109),4311,856,high,39.60920418982837,17.834416991764193,29.69598455294164,44.11904761904762,72.14864864864865,22.366666666666664,37.628994778149526,36.60908127188361,40.31611481841651,35.03886732673171,37.66107526525904,37.450826692088086
Panchkula,Rampur Seori (Part)(106),5236,1077,high,30.70744049301747,23.67728651928912,5.150628521889901,43.60476190476191,59.0,20.23333333333333,30.395575128715283,28.043278127330538,32.36509499847884,23.803647245286456,30.419571160078295,29.005433331977883
Panchkula,Bitna (153),3608,695,high,38.39424140675038,59.453836150845255,28.40534736178429,43.2047619047619,8.752293577981654,19.833333333333332,33.00730228924281,34.52813193737255,32.99194421322598,32.280885756162974,32.96364766681243,33.15438237256335
Panchkula,Bharon Ki Ser (Part) (149),2837,609,high,40.094278283485046,9.05071521456437,50.15762304448911,31.67142857142857,12.451612903225806,23.3,27.78760966953215,29.31214676775606,28.475857176088724,31.79797410268891,27.789766117092448,29.032670766631657
Panchkula,Tipra (157),3587,714,high,31.185883542840628,43.11703511053316,43.51696418016314,31.471428571428568,4.0,20.23333333333333,28.9207741230498,31.524578217621134,28.335618398362225,32.619410346863006,28.88487464954154,30.05705114708754
Panchkula,Suketri (376),5761,1159,high,34.19356504465152,27.953185955786736,41.70341253891319,43.31904761904762,10.237288135593218,20.23333333333333,29.60663877122094,31.202308779112833,29.56552913867699,31.451901328986537,29.589641525090883,30.283203908617633
Panchkula,Nada (199),2808,584,high,30.51490748429348,21.718248807975726,50.4588800882689,35.35238095238095,52.0,32.73333333333333,37.12962511104206,37.91179638249687,37.43148668170054,39.991216331223484,37.14534480159585,37.921893861611764
Panchkula,Nagal Moginand (229),3256,616,high,30.642313613965495,9.05071521456437,5.150628521889901,38.00476190476191,4.0,22.366666666666664,18.202514320308055,16.231528167861125,18.528160916340468,13.29108728177524,18.211281010168957,16.89291433929077
