target,lr_r,lr_r2,lr_mae,lr_rmse,rf_r,rf_r2,rf_mae,rf_rmse,feature_importance
Agriculture,0.47001086299730155,0.22091021133546818,5.615948597435964,7.398181894825149,0.7139478893261656,0.5097215886732869,4.516964394491489,5.868844921277862,"[{'Feature': 'Social', 'Importance': 0.3761969834166611}, {'Feature': 'Infrastructure', 'Importance': 0.2407149349395619}, {'Feature': 'Irrigation', 'Importance': 0.2318058379816786}, {'Feature': 'Education', 'Importance': 0.09277616213796006}, {'Feature': 'Health', 'Importance': 0.0585060815241384}]"
Education,0.35211778544279754,0.12398693482514,9.123950688654226,11.186780538664676,0.6510886063405121,0.4239163733064304,7.363512997877732,9.071781731621929,"[{'Feature': 'Health', 'Importance': 0.3123901645538945}, {'Feature': 'Infrastructure', 'Importance': 0.18539611084936744}, {'Feature': 'Agriculture', 'Importance': 0.17598234745325986}, {'Feature': 'Social', 'Importance': 0.16951027675619515}, {'Feature': 'Irrigation', 'Importance': 0.156721100387283}]"
Health,0.3540646210093259,0.1253617558504776,14.5618419847247,16.769837196888073,0.7089418412204409,0.5025985342330289,10.167908932206409,12.646435845068138,"[{'Feature': 'Education', 'Importance': 0.3284841536925805}, {'Feature': 'Social', 'Importance': 0.1943929420615072}, {'Feature': 'Infrastructure', 'Importance': 0.18436819404309254}, {'Feature': 'Agriculture', 'Importance': 0.15904487652693358}, {'Feature': 'Irrigation', 'Importance': 0.13370983367588618}]"
Infrastructure,0.5539627051407133,0.30687467868681695,5.375005798118857,7.680961619113131,0.8668119351838254,0.7513629309771284,3.4705340981164583,4.600368821382917,"[{'Feature': 'Social', 'Importance': 0.8316841293104641}, {'Feature': 'Irrigation', 'Importance': 0.05570215195353168}, {'Feature': 'Health', 'Importance': 0.045753657346852994}, {'Feature': 'Education', 'Importance': 0.03371358850682515}, {'Feature': 'Agriculture', 'Importance': 0.033146472882326104}]"
Irrigation,0.35144421291027894,0.12351303478812548,9.703385007114628,14.21377201041405,0.6941219124745123,0.48180522937727455,7.495919632237572,10.929067975247996,"[{'Feature': 'Agriculture', 'Importance': 0.2816739763631956}, {'Feature': 'Social', 'Importance': 0.24252800956530565}, {'Feature': 'Infrastructure', 'Importance': 0.23809798919557199}, {'Feature': 'Education', 'Importance': 0.12492215359262022}, {'Feature': 'Health', 'Importance': 0.11277787128330669}]"
Social,0.5526629239726666,0.3054363075340174,7.23734310823865,9.98906441574849,0.8158681436661346,0.6656408278492244,4.961308209361997,6.930672793917797,"[{'Feature': 'Infrastructure', 'Importance': 0.35156906043670716}, {'Feature': 'Agriculture', 'Importance': 0.19704186365816936}, {'Feature': 'Irrigation', 'Importance': 0.17440190147911774}, {'Feature': 'Health', 'Importance': 0.16446529920921485}, {'Feature': 'Education', 'Importance': 0.1125218752167909}]"
