Factor,Coefficient,Abs_Coef
Social,0.2622721352716379,0.2622721352716379
Agriculture,0.2428102620160548,0.2428102620160548
Irrigation,0.12857996373547312,0.12857996373547312
Education,0.03949352952812524,0.03949352952812524
Health,0.02686628972583993,0.02686628972583993
