,Agriculture,Education,Health,Infrastructure,Irrigation,Social
Agriculture,1.0,0.09590047531898947,0.15655204033957357,0.39659661598846646,0.2081758463801244,0.34888382661714973
Education,0.09590047531898947,1.0,0.279143035788514,0.18156074636755454,0.014661625564052976,0.26872667404198874
Health,0.15655204033957357,0.279143035788514,1.0,0.20496950540136774,0.09966480429447357,0.24314789433787926
Infrastructure,0.39659661598846646,0.18156074636755454,0.20496950540136774,1.0,0.24531452974687284,0.4328634621816415
Irrigation,0.2081758463801244,0.014661625564052976,0.09966480429447357,0.24531452974687284,1.0,-0.053279892314191765
Social,0.34888382661714973,0.26872667404198874,0.24314789433787926,0.4328634621816415,-0.053279892314191765,1.0
