"","Group.1","Total.Geographical.Area.(in.Hectares)","Total.Households","Total.Population.of.Village","Total.Male.Population.of.Village","Total.Female.Population.of.Village","Wheat","Rice","Musturd","Others","Forest.Area.(in.Hectares)","Area.under.Non-Agricultural.Uses.(in.Hectares)","Barren.&.Un-cultivable.Land.Area.(in.Hectares)","Permanent.Pastures.and.Other.Grazing.Land.Area.(in.Hectares)","Land.Under.Miscellaneous.Tree.Crops.etc..Area.(in.Hectares)","Culturable.Waste.Land.Area.(in.Hectares)","Fallows.Land.other.than.Current.Fallows.Area.(in.Hectares)","Current.Fallows.Area.(in.Hectares)","Clusters"
"1",1,1855.64,74.8,410.52,221.48,189.04,0.72,0.32,0.28,0.56,287.64,354.84,51.4,0,3.52,8.16,2.04,0,1
"2",2,239.387243735763,145.702733485194,781.996583143508,412.599088838269,369.397494305239,0.9749430523918,0.686788154897494,0.325740318906606,0.825740318906606,1.02391799544419,34.0193621867882,1.16742596810934,0.536446469248292,0.612756264236902,2.29384965831435,0.5,0.933940774487471,2
"3",3,168.794573643411,59.5012919896641,330.480620155039,174.892764857881,155.587855297158,0.976744186046512,0.691214470284238,0.113695090439276,0.922480620155039,3.69896640826873,22.343669250646,1.02454780361757,0.152454780361757,0.458656330749354,1.90180878552972,0.182170542635659,0.719638242894057,3
"4",4,189.451327433628,6.89823008849558,40.2699115044248,21.2566371681416,19.0132743362832,0.0132743362831858,0.0575221238938053,0.0486725663716814,0.0221238938053097,13.3628318584071,21.0884955752212,1.57079646017699,0.141592920353982,0.101769911504425,1.42477876106195,0.482300884955752,2.27433628318584,4
