"","Group.1","Total.Geographical.Area.(in.Hectares)","Total.Households","Total.Population.of.Village","Total.Male.Population.of.Village","Total.Female.Population.of.Village","Wheat","Rice","Musturd","Others","Forest.Area.(in.Hectares)","Area.under.Non-Agricultural.Uses.(in.Hectares)","Barren.&.Un-cultivable.Land.Area.(in.Hectares)","Permanent.Pastures.and.Other.Grazing.Land.Area.(in.Hectares)","Land.Under.Miscellaneous.Tree.Crops.etc..Area.(in.Hectares)","Culturable.Waste.Land.Area.(in.Hectares)","Fallows.Land.other.than.Current.Fallows.Area.(in.Hectares)","Current.Fallows.Area.(in.Hectares)","Clusters"
"1",1,897.451388888889,767.091049382716,4163.96450617284,2221.07561728395,1942.88888888889,1,0.77391975308642,0,0.941358024691358,2.81867283950617,105.114197530864,3.07793209876543,1.07561728395062,0.885030864197531,7.29706790123457,0.506944444444444,6.64737654320988,1
"2",2,2695.50793650794,1935.94047619048,10476.9047619048,5584.19841269841,4892.70634920635,0.984126984126984,0.611111111111111,0.305555555555556,0.837301587301587,0.126984126984127,320.384920634921,14.6706349206349,2.97619047619048,5.27380952380952,16.4285714285714,6.45634920634921,23.0238095238095,2
"3",3,1005.76729559748,806.037735849057,4516.38993710692,2412.18867924528,2104.20125786164,0,0.333333333333333,0.245283018867925,0.276729559748428,0.955974842767296,124.069182389937,19.1823899371069,0.320754716981132,0.106918238993711,16.5283018867925,0.465408805031447,0.710691823899371,3
"4",4,1056.17166666667,751.958333333333,4010.72333333333,2126.135,1884.58833333333,1,0.27,0.998333333333333,0.716666666666667,3.01833333333333,110.915,7.29833333333333,0.536666666666667,0.563333333333333,8.725,0.353333333333333,7.32333333333333,4
