"","Group.1","Total.Geographical.Area..in.Hectares.","Total.Households","Total.Population.of.Village","Total.Male.Population.of.Village","Total.Female.Population.of.Village","Distance","Primary.Health.Centre..Numbers.","Primary.Health.Centre.Doctors.Total.Strength..Numbers.","Primary.Health.Centre.Doctors.In.Position..Numbers.","Distance.1","Primary.Heallth.Sub.Centre..Numbers.","Primary.Heallth.Sub.Centre.Doctors.Total.Strength..Numbers.","Primary.Heallth.Sub.Centre.Doctors.In.Position..Numbers.","Distance.2","Maternity.And.Child.Welfare.Centre..Numbers.","Maternity.And.Child.Welfare.Centre.Doctors.Total.Strength..Numbers.","Maternity.And.Child.Welfare.Centre.Doctors.In.Position..Numbers.","Distance.3","TB.Clinic..Numbers.","TB.Clinic.Doctors.Total.Strength..Numbers.","TB.Clinic.Doctors.In.Position..Numbers.","Distance.4","Distance.5","Hospiltal.Alternative.Medicine..Numbers.","Hospiltal.Alternative.Medicine.Doctors.Total.Strength..Numbers.","Hospiltal.Alternative.Medicine.Doctors.In.Position..Numbers.","Distance.6","Dispensary..Numbers.","Dispensary.Doctors.Total.Strength..Numbers.","Dispensary.Doctors.In.Position..Numbers.","Distance.7","Veterinary.Hospital..Numbers.","Veterinary.Hospital.Doctors.Total.Strength..Numbers.","Veterinary.Hospital.Doctors.In.Position..Numbers.","Distance.8","Distance.9","Family.Welfare.Centre..Numbers.","Family.Welfare.Centre.Doctors.Total.Strength..Numbers.","Family.Welfare.Centre.Doctors.In.Position..Numbers.","Distance.10","Clusters"
"1",1,761.017195767196,697.752645502645,3899.59656084656,2077.35978835979,1822.23677248677,4.2989417989418,0.0198412698412698,0.177248677248677,0.123015873015873,5.81018518518519,0.478835978835979,0.828042328042328,0.743386243386243,9.35185185185185,0.0833333333333333,0.187830687830688,0.185185185185185,5.68452380952381,0.00132275132275132,0.00132275132275132,0.00132275132275132,3.18452380952381,2.63227513227513,0,0,0,3.11507936507937,0.0701058201058201,0.166666666666667,0.150793650793651,5.71759259259259,0.00132275132275132,0.00132275132275132,0.00132275132275132,6.5244708994709,3.10185185185185,0.00925925925925926,0.0132275132275132,0.0119047619047619,4.02116402116402,1
"2",2,1432.53333333333,1185.50666666667,6330.32,3362.44,2967.88,3.06666666666667,0.146666666666667,1.66666666666667,1.26666666666667,5.43333333333333,0.866666666666667,1.34666666666667,1.21333333333333,11.1,0.106666666666667,0.32,0.306666666666667,4.6,0.0533333333333333,0.0666666666666667,0.0666666666666667,3.06666666666667,1.9,1,3.17333333333333,2.61333333333333,12.5,0.893333333333333,2.02666666666667,1.90666666666667,11.7,0.76,1.68,1.65333333333333,10.6333333333333,1.8,0.0133333333333333,0.04,0.04,2.63333333333333,2
"3",3,2040.47297297297,1548.47972972973,8260.85135135135,4400.2972972973,3860.55405405405,4.18918918918919,0.837837837837838,9.39864864864865,7.48986486486486,11.3006756756757,0.942567567567568,1.87162162162162,1.66216216216216,11.3513513513514,0.432432432432432,1.0777027027027,1.02702702702703,7.34797297297297,0.0709459459459459,0.0878378378378378,0.0878378378378378,2.69425675675676,1.49493243243243,0.00337837837837838,0.00675675675675676,0.00675675675675676,1.44425675675676,0.121621621621622,0.304054054054054,0.273648648648649,4.67905405405405,0.89527027027027,2.22635135135135,2.13513513513514,11.7483108108108,1.60472972972973,0.0540540540540541,0.14527027027027,0.135135135135135,3.21790540540541,3
"4",4,1143.42033898305,836.083050847458,4485.7093220339,2389.65762711864,2096.05169491525,3.55720338983051,0.00593220338983051,0.0322033898305085,0.026271186440678,4.92584745762712,0.726271186440678,1.33050847457627,1.23220338983051,10.6906779661017,0.16864406779661,0.358474576271186,0.358474576271186,5.86440677966102,0,0,0,2.52542372881356,2.27330508474576,0,0,0,2.11440677966102,0.189830508474576,0.475423728813559,0.41271186440678,5.82203389830508,1,2.37881355932203,2.28050847457627,12.4830508474576,2.29237288135593,0.0254237288135593,0.0533898305084746,0.0491525423728814,3.52966101694915,4
