"","Group.1","Total.Geographical.Area..in.Hectares.","Total.Households","Total.Population.of.Village","Total.Male.Population.of.Village","Total.Female.Population.of.Village","Distance","Primary.Health.Centre..Numbers.","Primary.Health.Centre.Doctors.Total.Strength..Numbers.","Primary.Health.Centre.Doctors.In.Position..Numbers.","Distance.1","Primary.Heallth.Sub.Centre..Numbers.","Primary.Heallth.Sub.Centre.Doctors.Total.Strength..Numbers.","Primary.Heallth.Sub.Centre.Doctors.In.Position..Numbers.","Distance.2","Maternity.And.Child.Welfare.Centre..Numbers.","Maternity.And.Child.Welfare.Centre.Doctors.Total.Strength..Numbers.","Maternity.And.Child.Welfare.Centre.Doctors.In.Position..Numbers.","Distance.3","TB.Clinic..Numbers.","TB.Clinic.Doctors.Total.Strength..Numbers.","TB.Clinic.Doctors.In.Position..Numbers.","Distance.4","Distance.5","Hospiltal.Alternative.Medicine..Numbers.","Hospiltal.Alternative.Medicine.Doctors.Total.Strength..Numbers.","Hospiltal.Alternative.Medicine.Doctors.In.Position..Numbers.","Distance.6","Dispensary..Numbers.","Dispensary.Doctors.Total.Strength..Numbers.","Dispensary.Doctors.In.Position..Numbers.","Distance.7","Veterinary.Hospital..Numbers.","Veterinary.Hospital.Doctors.Total.Strength..Numbers.","Veterinary.Hospital.Doctors.In.Position..Numbers.","Distance.8","Distance.9","Family.Welfare.Centre..Numbers.","Family.Welfare.Centre.Doctors.Total.Strength..Numbers.","Family.Welfare.Centre.Doctors.In.Position..Numbers.","Distance.10","Clusters"
"1",1,509.988868274583,357.322820037106,1902.66048237477,1006.78107606679,895.879406307978,3.38589981447124,0.0686456400742115,0.697588126159555,0.526901669758813,5.80241187384045,0.927643784786642,1.63636363636364,1.45454545454545,12.0222634508349,0.204081632653061,0.4860853432282,0.473098330241187,6.26159554730983,0,0,0,2.18923933209647,1.60482374768089,0.0408163265306122,0.12987012987013,0.100185528756957,2.30983302411874,0.0964749536178108,0.233766233766234,0.200371057513915,5.27829313543599,0.454545454545455,1.07235621521336,1.04638218923933,9.38775510204082,2.24489795918367,0,0,0,3.35343228200371,1
"2",2,458.05,333.85,1793.15,957.3,835.85,2.25,0.15,1.1,1.05,5.625,0.35,0.7,0.65,9.125,0.35,0.75,0.75,7.875,0.05,0.05,0.05,1.875,1,0.05,0.15,0.15,1.875,0.15,0.3,0.3,3.625,0.55,1.25,1.25,9.875,2,1,1.95,1.9,12.5,2
"3",3,324.300911854103,266.271529888551,1475.55116514691,781.367781155015,694.183383991895,6.43363728470111,0.00202634245187437,0.0243161094224924,0.0233029381965552,7.43161094224924,0.0678824721377913,0.0800405268490375,0.0729483282674772,8.30293819655522,0.00911854103343465,0.022289766970618,0.0202634245187437,7.27710233029382,0,0,0,5.01519756838906,4.6403242147923,0.00101317122593718,0.00303951367781155,0.00202634245187437,5.17983789260385,0.0172239108409321,0.0405268490374873,0.0354609929078014,7.21631205673759,0.122593718338399,0.274569402228977,0.267477203647416,8.60942249240122,5.44072948328267,0,0,0,6.37031408308004,3
"4",4,484.789473684211,316.302862419206,1723.56971375808,911.386888273315,812.182825484765,2.23453370267775,0.00461680517082179,0.0452446906740536,0.0378578024007387,3.80655586334257,0.0203139427516159,0.0240073868882733,0.0203139427516159,5.13850415512465,0,0,0,3.25946445060018,0,0,0,0.941828254847645,0.803324099722992,0,0,0,1.01569713758079,0.038781163434903,0.0941828254847645,0.0803324099722992,3.71191135734072,0.30932594644506,0.703601108033241,0.681440443213296,7.8601108033241,1.2927054478301,0,0,0,1.93905817174515,4
