"","Group.1","Total.Geographical.Area.(in.Hectares)","Total.Households","Total.Population.of.Village","Total.Male.Population.of.Village","Total.Female.Population.of.Village","Distance","Primary.Health.Centre.(Numbers)","Primary.Health.Centre.Doctors.Total.Strength.(Numbers)","Primary.Health.Centre.Doctors.In.Position.(Numbers)","Distance.1","Primary.Heallth.Sub.Centre.(Numbers)","Primary.Heallth.Sub.Centre.Doctors.Total.Strength.(Numbers)","Primary.Heallth.Sub.Centre.Doctors.In.Position.(Numbers)","Distance.2","Maternity.And.Child.Welfare.Centre.(Numbers)","Maternity.And.Child.Welfare.Centre.Doctors.Total.Strength.(Numbers)","Maternity.And.Child.Welfare.Centre.Doctors.In.Position.(Numbers)","Distance.3","TB.Clinic.(Numbers)","TB.Clinic.Doctors.Total.Strength.(Numbers)","TB.Clinic.Doctors.In.Position.(Numbers)","Distance.4","Distance.5","Hospiltal.Alternative.Medicine.(Numbers)","Hospiltal.Alternative.Medicine.Doctors.Total.Strength.(Numbers)","Hospiltal.Alternative.Medicine.Doctors.In.Position.(Numbers)","Distance.6","Dispensary.(Numbers)","Dispensary.Doctors.Total.Strength.(Numbers)","Dispensary.Doctors.In.Position.(Numbers)","Distance.7","Veterinary.Hospital.(Numbers)","Veterinary.Hospital.Doctors.Total.Strength.(Numbers)","Veterinary.Hospital.Doctors.In.Position.(Numbers)","Distance.8","Distance.9","Family.Welfare.Centre.(Numbers)","Family.Welfare.Centre.Doctors.Total.Strength.(Numbers)","Family.Welfare.Centre.Doctors.In.Position.(Numbers)","Distance.10","Clusters"
"1",1,225.939516129032,9.3508064516129,51.25,27.3870967741935,23.8629032258065,13.9717741935484,0,0,0,13.991935483871,0.00403225806451613,0.00806451612903226,0.00806451612903226,14.0221774193548,0,0,0,13.9717741935484,0,0,0,13.8709677419355,13.991935483871,0,0,0,14.0120967741935,0,0,0,14.0120967741935,0,0,0,14.0120967741935,13.9314516129032,0,0,0,13.991935483871,1
"2",2,290.285714285714,108.142857142857,598.571428571429,315.714285714286,282.857142857143,3.57142857142857,0,0,0,4.52380952380952,0.0476190476190476,0.0952380952380952,0.0952380952380952,6.07142857142857,0,0,0,4.52380952380952,0,0,0,2.38095238095238,1.42857142857143,0.19047619047619,0.571428571428571,0.428571428571429,3.33333333333333,0.952380952380952,2.33333333333333,2.19047619047619,12.1428571428571,0.238095238095238,0.619047619047619,0.619047619047619,7.73809523809524,2.61904761904762,0,0,0,3.57142857142857,2
"3",3,178.434993924666,66.4009720534629,365.279465370595,193.006075334143,172.273390036452,3.12272174969623,0,0,0,4.54434993924666,0.00607533414337789,0.00972053462940462,0.00607533414337789,5.59842041312272,0.00243013365735115,0.00486026731470231,0.00486026731470231,4.12515188335358,0,0,0,1.6221142162819,1.46415552855407,0,0,0,2.01093560145808,0,0,0,5.1640340218712,0.00850546780072904,0.0170109356014581,0.0170109356014581,6.57047387606318,2.37545565006075,0.00121506682867558,0.00364520048602673,0.00364520048602673,3.34447144592953,3
"4",4,272.570900123305,145.711467324291,784.024660912454,413.938347718866,370.086313193588,4.65474722564735,0.00739827373612824,0.0764488286066584,0.0456226880394575,6.31319358816276,0.0998766954377312,0.155363748458693,0.13810110974106,7.62946979038224,0.0246609124537608,0.064118372379778,0.0591861898890259,5.95561035758323,0.00123304562268804,0.00123304562268804,0.00123304562268804,3.0672009864365,2.69420468557337,0,0,0,3.19358816276202,0,0,0,6.26387176325524,0.143033292231813,0.339087546239211,0.327990135635018,8.56966707768187,3.76078914919852,0,0,0,4.845869297164,4
